cell_id	coords
55	[[5494, 275], [5494, 275], [5493, 274], [5487, 273], [5486, 274], [5484, 274], [5483, 276], [5482, 276], [5485, 271], [5492, 271], [5494, 273], [5494, 275]]
56	[[6890, 316], [6889, 315], [6885, 314], [6881, 311], [6880, 307], [6878, 304], [6878, 301], [6877, 300], [6878, 296], [6879, 295], [6878, 294], [6879, 293], [6880, 289], [6883, 285], [6883, 280], [6884, 278], [6887, 275], [6888, 275], [6892, 272], [6894, 272], [6895, 271], [6900, 271], [6910, 276], [6911, 278], [6911, 280], [6913, 281], [6914, 285], [6915, 286], [6914, 287], [6914, 289], [6916, 292], [6916, 295], [6915, 296], [6916, 297], [6916, 300], [6913, 306], [6906, 312], [6900, 313], [6899, 314], [6897, 314], [6893, 316], [6890, 316]]
57	[[5493, 279], [5490, 279], [5489, 278], [5487, 278], [5483, 280], [5482, 277], [5483, 276], [5484, 278], [5484, 275], [5487, 273], [5489, 273], [5490, 274], [5493, 275], [5493, 279]]
58	[[5493, 281], [5485, 281], [5484, 280], [5487, 278], [5489, 278], [5490, 279], [5493, 279], [5493, 281]]
59	[[5494, 286], [5489, 286], [5488, 285], [5487, 286], [5485, 286], [5484, 284], [5493, 283], [5494, 286]]
60	[[5494, 292], [5494, 292], [5493, 291], [5489, 291], [5488, 290], [5485, 291], [5484, 287], [5487, 286], [5488, 285], [5489, 286], [5493, 286], [5494, 288], [5494, 292]]
61	[[5494, 295], [5494, 295], [5493, 294], [5485, 294], [5483, 293], [5483, 292], [5486, 291], [5487, 290], [5489, 291], [5493, 291], [5494, 293], [5494, 295]]
62	[[5494, 309], [5493, 308], [5488, 308], [5487, 307], [5485, 308], [5484, 301], [5483, 309], [5482, 309], [5482, 300], [5483, 299], [5483, 297], [5485, 295], [5492, 295], [5494, 297], [5494, 309]]
63	[[5494, 312], [5492, 312], [5491, 309], [5490, 311], [5485, 311], [5483, 310], [5485, 308], [5486, 308], [5487, 310], [5488, 308], [5493, 308], [5494, 310], [5494, 312]]
64	[[5494, 317], [5494, 317], [5493, 316], [5491, 316], [5490, 313], [5489, 316], [5484, 316], [5483, 314], [5485, 312], [5492, 312], [5494, 314], [5494, 317]]
65	[[5489, 318], [5485, 318], [5483, 320], [5482, 320], [5484, 316], [5489, 316], [5489, 318]]
66	[[2088, 375], [2085, 373], [2081, 372], [2079, 371], [2079, 370], [2076, 366], [2075, 366], [2073, 363], [2071, 363], [2071, 360], [2069, 356], [2069, 349], [2071, 348], [2070, 346], [2070, 344], [2071, 343], [2070, 342], [2071, 341], [2071, 337], [2073, 334], [2073, 332], [2076, 326], [2079, 323], [2080, 323], [2082, 321], [2085, 321], [2088, 319], [2091, 319], [2092, 318], [2097, 318], [2098, 319], [2103, 320], [2105, 322], [2108, 323], [2113, 329], [2113, 331], [2115, 334], [2115, 337], [2116, 338], [2116, 342], [2114, 346], [2116, 347], [2115, 348], [2115, 351], [2114, 352], [2113, 356], [2111, 358], [2111, 359], [2109, 360], [2105, 367], [2100, 372], [2098, 373], [2096, 373], [2092, 375], [2088, 375]]
67	[[5494, 330], [5492, 329], [5491, 327], [5490, 329], [5483, 329], [5483, 320], [5485, 318], [5489, 319], [5490, 326], [5490, 319], [5492, 318], [5494, 320], [5494, 330]]
68	[[5494, 342], [5492, 342], [5491, 341], [5485, 341], [5484, 342], [5483, 341], [5485, 339], [5492, 339], [5494, 340], [5494, 342]]
69	[[6525, 366], [6522, 364], [6522, 359], [6521, 358], [6521, 355], [6520, 354], [6523, 353], [6524, 354], [6524, 353], [6523, 350], [6522, 352], [6520, 352], [6518, 344], [6522, 343], [6524, 344], [6525, 348], [6526, 346], [6526, 342], [6528, 340], [6530, 340], [6531, 339], [6536, 339], [6536, 350], [6535, 351], [6535, 355], [6536, 356], [6536, 359], [6533, 362], [6532, 362], [6529, 366], [6525, 366]]
70	[[5494, 349], [5493, 349], [5492, 348], [5485, 348], [5484, 349], [5483, 343], [5485, 341], [5491, 341], [5492, 342], [5494, 342], [5494, 349]]
71	[[5494, 360], [5490, 358], [5486, 358], [5484, 359], [5482, 358], [5483, 356], [5483, 350], [5485, 348], [5492, 348], [5494, 350], [5494, 360]]
72	[[5920, 412], [5919, 411], [5913, 410], [5908, 406], [5907, 403], [5904, 399], [5904, 396], [5901, 390], [5901, 379], [5900, 378], [5900, 376], [5905, 375], [5901, 372], [5901, 365], [5902, 364], [5902, 362], [5909, 355], [5912, 354], [5914, 352], [5918, 350], [5923, 349], [5924, 348], [5931, 348], [5932, 349], [5935, 349], [5942, 353], [5947, 359], [5950, 365], [5951, 371], [5952, 372], [5952, 376], [5953, 377], [5953, 380], [5950, 381], [5951, 382], [5951, 392], [5948, 398], [5941, 405], [5940, 405], [5938, 407], [5934, 409], [5929, 410], [5928, 411], [5920, 412]]
73	[[5494, 371], [5485, 371], [5483, 370], [5484, 369], [5484, 364], [5483, 363], [5484, 359], [5486, 358], [5490, 358], [5491, 359], [5493, 359], [5494, 361], [5494, 371]]
74	[[741, 406], [739, 406], [738, 407], [737, 406], [736, 407], [731, 407], [730, 406], [728, 406], [724, 404], [718, 399], [718, 398], [714, 393], [713, 389], [711, 386], [711, 384], [713, 381], [713, 378], [714, 376], [720, 371], [722, 370], [727, 370], [727, 372], [729, 373], [733, 373], [738, 377], [738, 379], [740, 383], [740, 384], [738, 385], [742, 388], [743, 393], [745, 395], [745, 399], [742, 405], [741, 406]]
75	[[5484, 372], [5484, 370], [5484, 372]]
76	[[6921, 422], [6919, 420], [6919, 412], [6920, 411], [6917, 408], [6917, 400], [6920, 398], [6917, 398], [6919, 394], [6918, 393], [6918, 387], [6919, 385], [6921, 384], [6924, 381], [6928, 379], [6931, 379], [6932, 378], [6934, 379], [6938, 377], [6941, 377], [6942, 378], [6946, 379], [6952, 386], [6955, 392], [6955, 396], [6956, 397], [6952, 398], [6955, 399], [6955, 403], [6954, 404], [6954, 407], [6953, 409], [6948, 415], [6941, 419], [6939, 419], [6936, 421], [6931, 421], [6930, 422], [6921, 422]]
77	[[5494, 411], [5493, 408], [5492, 411], [5490, 411], [5489, 410], [5487, 410], [5486, 411], [5483, 410], [5483, 401], [5482, 400], [5483, 397], [5495, 398], [5495, 400], [5494, 401], [5495, 402], [5494, 403], [5494, 411]]
78	[[457, 418], [454, 418], [455, 416], [455, 415], [453, 416], [446, 412], [447, 410], [445, 408], [445, 406], [444, 405], [444, 403], [446, 401], [449, 401], [450, 400], [452, 402], [453, 401], [453, 400], [455, 399], [457, 403], [457, 406], [458, 407], [459, 413], [457, 418]]
79	[[463, 418], [459, 418], [457, 417], [459, 413], [458, 407], [457, 406], [457, 403], [459, 400], [462, 400], [463, 401], [466, 401], [467, 402], [468, 402], [469, 400], [471, 404], [471, 408], [470, 409], [467, 410], [465, 414], [465, 416], [464, 416], [463, 418]]
80	[[124, 458], [110, 458], [104, 455], [96, 447], [96, 445], [94, 442], [94, 440], [92, 436], [92, 430], [94, 430], [93, 427], [94, 426], [94, 423], [96, 420], [96, 418], [103, 410], [111, 406], [124, 406], [125, 407], [127, 407], [131, 409], [133, 411], [134, 411], [142, 420], [143, 424], [144, 425], [144, 430], [145, 431], [144, 432], [144, 435], [143, 436], [143, 438], [142, 439], [141, 443], [139, 445], [137, 449], [132, 454], [124, 458]]
81	[[968, 422], [963, 422], [961, 420], [956, 418], [954, 417], [957, 415], [959, 415], [959, 414], [963, 411], [966, 411], [967, 413], [967, 414], [971, 417], [968, 422]]
82	[[5494, 418], [5487, 418], [5486, 417], [5484, 418], [5483, 414], [5492, 413], [5493, 414], [5494, 413], [5494, 418]]
83	[[956, 437], [955, 436], [953, 436], [950, 433], [949, 433], [945, 429], [946, 428], [947, 429], [947, 427], [949, 426], [948, 425], [949, 424], [949, 423], [947, 424], [945, 424], [945, 421], [951, 416], [952, 416], [954, 418], [957, 418], [958, 420], [959, 419], [961, 420], [964, 423], [965, 422], [967, 423], [965, 424], [966, 428], [965, 428], [964, 427], [963, 431], [961, 433], [961, 434], [959, 434], [956, 437]]
84	[[5494, 423], [5490, 423], [5488, 422], [5487, 423], [5484, 423], [5483, 419], [5485, 418], [5486, 420], [5487, 418], [5494, 418], [5494, 423]]
85	[[5494, 427], [5484, 427], [5483, 424], [5487, 423], [5488, 422], [5490, 423], [5494, 423], [5494, 427]]
86	[[4049, 470], [4048, 469], [4046, 469], [4038, 463], [4038, 455], [4036, 455], [4037, 454], [4036, 453], [4036, 442], [4037, 441], [4037, 438], [4039, 434], [4046, 427], [4050, 425], [4052, 425], [4053, 424], [4063, 424], [4064, 425], [4066, 425], [4072, 428], [4076, 434], [4077, 442], [4078, 443], [4076, 444], [4077, 445], [4077, 449], [4076, 450], [4076, 452], [4072, 459], [4066, 465], [4059, 469], [4056, 469], [4055, 470], [4049, 470]]
