Cell_Num	X	Y	Genenames	CellGeneCount	ClassName	Prob
379	2188.0659679205364	1265.4575948809656	['Aldoc', 'Car4', 'Cpne2', 'Cryab', 'Cxcl14', 'Hsd11b1', 'Nek7', 'Parm1', 'Pcp4', 'Plp1', 'Pthlh', 'Rgs4', 'Serpine2', 'Serpini1', 'Slc6a1', 'Sst', 'Wfs1']	[0.019613824296652736, 0.7086417370210852, 0.648854878439535, 2.711498127913509, 2.7862289119621475, 1.6722247221280933, 0.003000760879766844, 0.004052210295546458, 2.9831839854445383, 0.9985704240113349, 0.05646519554774766, 0.9982434822091321, 3.4521685139242706, 0.009184632740259732, 2.9147331379220063, 0.06324046445556514, 0.9838949858138998]	['class_103']	[0.999999869856152]
380	5464.7698507245	1252.3161669724009	[]	[]	['class_28', 'class_113', 'Zero']	[0.002711830118691529, 0.006560365743221274, 0.9906851641938396]
381	1504.1542920650033	1272.5411485019429	['Cdh13', 'Nrn1', 'Ntng1', 'Pcp4', 'Penk', 'Plp1', 'Pthlh', 'Rgs4', 'Sema5a', 'Serpine2', 'Slc6a1', 'Sst', 'Thsd7a', 'Tshz2', 'Wfs1']	[0.9998453710428579, 0.9999699613253559, 0.9999908667585282, 3.001958170222826, 0.9997719217909862, 1.0890187590702505, 0.9846731296678424, 2.155618010628227, 0.9097492344416603, 1.002644626855123, 0.999624837522204, 3.5997699528095524, 0.043223762525904326, 0.992117284092594, 0.9998642160144593]	['class_9', 'class_75', 'class_103']	[0.0025876448305468666, 0.9934029537555474, 0.003980929761371836]
382	5486.340711215657	1271.0079137572504	['Tac2']	[0.048807418635193514]	['class_28', 'class_113', 'Zero']	[0.008763474654531861, 0.015507109337827799, 0.97528537983666]
383	5486.340493182113	1271.008205245234	['Tac2']	[0.7057601039778941]	['class_28', 'class_113', 'Zero']	[0.0032948078735417284, 0.015025610146095759, 0.9816575896160656]
384	6065.420866650548	1287.7894134438839	['Arc', 'Car4', 'Cck', 'Cox6a2', 'Cpne7', 'Cryab', 'Cxcl14', 'Enpp2', 'Nr4a2', 'Pcp4', 'Plp1', 'Pthlh', 'Rgs4', 'Thsd7a', 'Tshz2']	[2.97689286447735, 0.001571910071004457, 0.04488086788774528, 0.9999697170044294, 0.9421994021221882, 8.012846536510079, 0.9991293238637863, 6.971889751672768, 0.9969293700296148, 3.1944182550574007, 9.328878428302092, 1.0193906298136606, 4.003805078792505, 0.014408724955843413, 0.9986921485959284]	['class_71', 'class_80']	[0.9968319990642819, 0.0031679917367869095]
385	1268.682821103771	1291.38544704614	['Bcl11b', 'Car4', 'Tnfaip6', 'Zbtb20']	[0.003917621827966498, 0.002167733922894317, 0.20094492712272577, 0.5494671084058633]	['Zero']	[0.9991315201660913]
386	1555.6754070622092	1285.7587535983616	['Aldoc', 'Cadps2', 'Car4', 'Cck', 'Cdh13', 'Col25a1', 'Cort', 'Cox6a2', 'Cpne7', 'Gabrd', 'Grik1', 'Id2', 'Neurod6', 'Nptx2', 'Nrn1', 'Ntng1', 'Pcp4', 'Plp1', 'Pnoc', 'Pvalb', 'Rab3c', 'Reln', 'Rgs4', 'Sema5a', 'Serpine2', 'Serpini1', 'Slc17a8', 'Tafa1', 'Tshz2', 'Wfs1', 'Zbtb20']	[0.9395649575046342, 1.1764355977204306, 1.0001862397993906, 3.624579878444763, 1.05455550611858, 1.2429555503452794, 0.021580952487939266, 1.7499229383391721, 10.460052335954769, 9.403731843685827, 2.9891361035620645, 2.679885337757498, 0.9479299009416637, 0.7269765392914092, 5.686457500539736, 9.347879281771373, 8.10485498933701, 0.029430771849003813, 0.030783265043048402, 0.3012058001252445, 0.9379951583472856, 0.9868688078052539, 12.072316922648188, 2.091197384447001, 0.6671497896244946, 0.3512927195037605, 0.0025537122442224236, 0.9746950674811391, 0.9995555283502107, 0.9888340216266033, 0.9999697849294519]	['class_72']	[0.9999834557273426]
387	673.9572588454656	1283.0822782073014	['Aldoc', 'Cdh13', 'Cplx2', 'Cxcl14', 'Gabrg1', 'Hsd11b1', 'Id2', 'Pcp4', 'Pthlh', 'Pvalb', 'Rab3c', 'Rgs12', 'Sema5a', 'Serpine2', 'Serpini1', 'Slc6a1', 'Sst', 'Thsd7a', 'Wfs1']	[1.9282445956303789, 0.9901810942726318, 0.9990315052547805, 3.4768785999559766, 0.038554675991996086, 0.11258579738504854, 1.2682409072593246, 2.0087092653986645, 1.999959001369926, 0.5161007670835833, 0.9999904283361853, 0.052739718021541496, 0.9976215043662707, 1.3747320852108784, 1.964611629155342, 3.2359900850816326, 0.12516051403475123, 0.9999907796704479, 0.9984602223907788]	['class_103']	[0.9999999366352887]
388	5486.461016102859	1271.155580895361	['Tac2']	[0.0048611272111934705]	['class_28', 'class_113', 'Zero']	[0.007858798244953329, 0.013758583848877168, 0.9780044954389093]
